SUBSTÂNCIA,EAN 3,APRESENTAÇÃO,CLASSE TERAPÊUTICA,DESTINAÇÃO COMERCIAL 
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,    -     ,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,
ACEBROFILINA,    -     ,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACEBROFILINA,    -     ,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R5C - EXPECTORANTES,
ACECLOFENACO,    -     ,15 MG/G CREM CT TB AL X 30 G,M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS,
ACECLOFENACO,    -     ,100 MG COM REV CT BL AL/AL X 12,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/G CREM DERM CT BG AL X 15 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACEPONATO DE METILPREDNISOLONA,    -     ,1 MG/G EMU DERM CT BG AL X 20 G,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE CIPROTERONA,    -     ,50 MG COM CT BL AL PLAS TRANS X 20,G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE,
ACETATO DE CIPROTERONA,    -     ,100 MG COM CT BL AL PLAS TRANS X 20,G3A5 - PREPARAÇÕES ORAIS COM PROGESTAGÊNIOS SOMENTE,
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,"(0,035 + 2) MG COM REV CT BL AL PLAS PVC/ACLAR OPC X 21 ",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,"2 MG + 0,03 MG COM REV CT BL CALEND AL PLAS TRANS X 21 + 7 PLACEBOS",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,"2 MG + 0,02 MG COM REV CT BL CALEND AL PLAS TRANS X 24 + 4 PLACEBO",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,
ACETATO DE DEXAMETASONA,    -     ,1 MG/G CREM DERM CT BG AL X 10 G  ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE FLUDROCORTISONA,    -     ,"0,1 MG COM CT FR VD AMB X 100",H2A2 - CORTICOSTERÓIDES ORAIS PUROS,
ACETATO DE FLUORMETOLONA,    -     ,"1,0 MG/ML SUS OFT CT FR GOT PLAS OPC X 5 ML",S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,
ACETATO DE HIDROCORTISONA,    -     ,10 MG/G CREM DERM CT BG AL X 15 G ,D7A - CORTICOESTERÓIDES TÓPICOS PUROS,
ACETATO DE MEDROXIPROGESTERONA,    -     ,150 MG/ML SUS INJ IM SER PREENC VD TRANS X 1 ML,G3A9 - OUTROS HORMÔNIOS CONTRACEPTIVOS SISTÊMICOS,
