SUBSTÂNCIA;;CLASSE TERAPÊUTICA
"21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL";-;D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS
ABATACEPTE;-;M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS
ABEMACICLIBE;-;L1H - INIBIDORES DE PROTEINA QUINASE
ABROCITINIBE;-;D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS
ACARBOSE;-;A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE
ACEBROFILINA;-;R5C - EXPECTORANTES
ACECLOFENACO;-;M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS
ACEPONATO DE METILPREDNISOLONA;-;D7A - CORTICOESTERÓIDES TÓPICOS PUROS
ACETATO DE ABIRATERONA;-;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS
ACETATO DE ATOSIBANA;-;G2E - INIBIDORES DO PARTO
"ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS";-;G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F
ACETATO DE CASPOFUNGINA;-;J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS
ACETATO DE CETRORRELIX;-;H1C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA
ACETATO DE CIPROTERONA;-;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS
"ACETATO DE CIPROTERONA;ETINILESTRADIOL";-;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG
"ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL";-;G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS
"ACETATO DE CLORMADINONA;ETINILESTRADIOL";-;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG
ACETATO DE DEGARELIX;-;L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS
ACETATO DE DESMOPRESSINA;-;H4D - HORMÔNIOS ANTIDIURÉTICOS
ACETATO DE DEXAMETASONA;-;D7A - CORTICOESTERÓIDES TÓPICOS PUROS
